experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A1,ZDT1,time_s,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,6.51925802230835e-09,6.51925802230835e-09,cliffs_delta_comparison_minus_reference,0.8668054110301769,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT1,hv,higher,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT1,igd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT1,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT1,gd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT1,spread,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT1,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,1.862645149230957e-09,cliffs_delta_comparison_minus_reference,0.9375650364203955,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,hv,higher,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,igd,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,igd_plus,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,gd,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,spread,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,time_s,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,1.862645149230957e-09,cliffs_delta_comparison_minus_reference,0.8938605619146722,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,hv,higher,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,igd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,gd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,spread,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,wilcoxon_signed_rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable_no_effect,No non-zero paired differences; do not report as a Wilcoxon test.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A1,ZDT3,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,1.862645149230957e-09,cliffs_delta_comparison_minus_reference,0.8980228928199792,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DASCMOP7_difficulty7,hv,higher,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.3777303956449032,0.3777303956449032,cliffs_delta_comparison_minus_reference,-0.07388137356919876,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DASCMOP7_difficulty7,igd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.13016566075384617,0.13016566075384617,cliffs_delta_comparison_minus_reference,0.2154006243496358,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DASCMOP7_difficulty7,igd_plus,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.006217258051037788,0.006217258051037788,cliffs_delta_comparison_minus_reference,0.36524453694068676,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DASCMOP7_difficulty7,gd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.03935616556555033,0.03935616556555033,cliffs_delta_comparison_minus_reference,0.25494276795005205,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DASCMOP7_difficulty7,spread,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.28106469474732876,0.28106469474732876,cliffs_delta_comparison_minus_reference,-0.22580645161290322,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DASCMOP7_difficulty7,time_s,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.10662505030632019,0.10662505030632019,cliffs_delta_comparison_minus_reference,0.19458896982310095,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0828599464148283,0.0828599464148283,cliffs_delta_comparison_minus_reference,0.2445369406867846,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.1820761300623417,0.1820761300623417,cliffs_delta_comparison_minus_reference,-0.21748178980228927,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.9000833509489894,0.9000833509489894,cliffs_delta_comparison_minus_reference,0.046826222684703434,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.9768865816295147,0.9768865816295147,cliffs_delta_comparison_minus_reference,-0.036420395421436005,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.529405927285552,0.529405927285552,cliffs_delta_comparison_minus_reference,-0.011446409989594173,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0026963530108332634,0.0026963530108332634,cliffs_delta_comparison_minus_reference,0.48803329864724243,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,hv,higher,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.529405927285552,0.529405927285552,cliffs_delta_comparison_minus_reference,0.14464099895941726,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,igd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.7793471785262227,0.7793471785262227,cliffs_delta_comparison_minus_reference,-0.07596253902185224,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,igd_plus,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.7062525749206543,0.7062525749206543,cliffs_delta_comparison_minus_reference,0.07388137356919876,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,gd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,9.313225746154785e-10,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,spread,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.052696118131279945,0.052696118131279945,cliffs_delta_comparison_minus_reference,-0.2861602497398543,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG4,time_s,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,6.51925802230835e-09,6.51925802230835e-09,cliffs_delta_comparison_minus_reference,-0.7918834547346514,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG9,hv,higher,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.9000833509489894,0.9000833509489894,cliffs_delta_comparison_minus_reference,0.021852237252861603,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG9,igd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.14060599450021982,0.14060599450021982,cliffs_delta_comparison_minus_reference,-0.2008324661810614,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG9,igd_plus,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.5814498504623771,0.5814498504623771,cliffs_delta_comparison_minus_reference,-0.06347554630593132,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG9,gd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.20231117121875286,0.20231117121875286,cliffs_delta_comparison_minus_reference,-0.1425598335067638,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG9,spread,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.0,1.0,cliffs_delta_comparison_minus_reference,-0.009365244536940686,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,WFG9,time_s,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.1898577213287354e-05,1.1898577213287354e-05,cliffs_delta_comparison_minus_reference,0.631633714880333,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT1,hv,higher,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.16942174453288317,0.16942174453288317,cliffs_delta_comparison_minus_reference,-0.16337148803329865,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT1,igd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.3672574386000633,0.3672574386000633,cliffs_delta_comparison_minus_reference,0.05931321540062435,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT1,igd_plus,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.2240869216620922,0.2240869216620922,cliffs_delta_comparison_minus_reference,0.06347554630593132,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT1,gd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.6219436237588525,0.6219436237588525,cliffs_delta_comparison_minus_reference,-0.06971904266389178,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT1,spread,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.8392556216567755,0.8392556216567755,cliffs_delta_comparison_minus_reference,-0.007284079084287201,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT1,time_s,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,1.862645149230957e-09,1.862645149230957e-09,cliffs_delta_comparison_minus_reference,0.9292403746097815,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT3,hv,higher,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.21665488090366125,0.21665488090366125,cliffs_delta_comparison_minus_reference,-0.24037460978147762,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT3,igd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.8695757398381829,0.8695757398381829,cliffs_delta_comparison_minus_reference,0.030176899063475548,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT3,igd_plus,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.07593795005232096,0.07593795005232096,cliffs_delta_comparison_minus_reference,0.33610822060353795,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT3,gd,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.608313562348485,0.608313562348485,cliffs_delta_comparison_minus_reference,-0.13423517169614985,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT3,spread,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.4559155162423849,0.4559155162423849,cliffs_delta_comparison_minus_reference,-0.14672216441207075,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A3,ZDT3,time_s,lower,MOSADE,MOSADE_shared_memory,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0001450907438993454,0.0001450907438993454,cliffs_delta_comparison_minus_reference,-0.4797086368366285,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
